item_id,operational_status,quarantine_group,quarantine_reason,can_participate_in_price_propagation,business_review_status,catalog_baseline_cut,catalog_baseline_map_status
78009,HISTORICAL_OR_DISCONTINUED,UD-004,PENDING_BUSINESS_REVIEW_PHYSICAL_WITHOUT_WOO,false,PENDING,WOO-MAP-001A.3,BLOCKED
78012,HISTORICAL_OR_DISCONTINUED,UD-004,PENDING_BUSINESS_REVIEW_PHYSICAL_WITHOUT_WOO,false,PENDING,WOO-MAP-001A.3,BLOCKED
78013,HISTORICAL_OR_DISCONTINUED,UD-004,PENDING_BUSINESS_REVIEW_PHYSICAL_WITHOUT_WOO,false,PENDING,WOO-MAP-001A.3,BLOCKED
201001,OPERATIONAL_BASELINE,,,true,NOT_REQUIRED,WOO-MAP-001A.3,MAPPED_EXACT
201002,OPERATIONAL_BASELINE,,,true,NOT_REQUIRED,WOO-MAP-001A.3,MAPPED_EXACT
201003,OPERATIONAL_BASELINE,,,true,NOT_REQUIRED,WOO-MAP-001A.3,MAPPED_EXACT
201004,OPERATIONAL_BASELINE,,,true,NOT_REQUIRED,WOO-MAP-001A.3,MAPPED_EXACT
201005,OPERATIONAL_BASELINE,,,true,NOT_REQUIRED,WOO-MAP-001A.3,MAPPED_EXACT
201006,OPERATIONAL_BASELINE,,,false,NOT_REQUIRED,WOO-MAP-001A.3,BLOCKED
201007,OPERATIONAL_BASELINE,,,false,NOT_REQUIRED,WOO-MAP-001A.3,BLOCKED
201010,OPERATIONAL_BASELINE,,,true,NOT_REQUIRED,WOO-MAP-001A.3,MAPPED_EXACT
201011,OPERATIONAL_BASELINE,,,true,NOT_REQUIRED,WOO-MAP-001A.3,MAPPED_EXACT
201013,HISTORICAL_OR_DISCONTINUED,UD-004,PENDING_BUSINESS_REVIEW_PHYSICAL_WITHOUT_WOO,false,PENDING,WOO-MAP-001A.3,BLOCKED
201014,OPERATIONAL_BASELINE,,,true,NOT_REQUIRED,WOO-MAP-001A.3,MAPPED_EXACT
206001,HISTORICAL_OR_DISCONTINUED,UD-004,PENDING_BUSINESS_REVIEW_PHYSICAL_WITHOUT_WOO,false,PENDING,WOO-MAP-001A.3,BLOCKED
208001,HISTORICAL_OR_DISCONTINUED,UD-004,PENDING_BUSINESS_REVIEW_PHYSICAL_WITHOUT_WOO,false,PENDING,WOO-MAP-001A.3,BLOCKED
213001,HISTORICAL_OR_DISCONTINUED,UD-004,PENDING_BUSINESS_REVIEW_PHYSICAL_WITHOUT_WOO,false,PENDING,WOO-MAP-001A.3,BLOCKED
214001,HISTORICAL_OR_DISCONTINUED,UD-004,PENDING_BUSINESS_REVIEW_PHYSICAL_WITHOUT_WOO,false,PENDING,WOO-MAP-001A.3,BLOCKED
216001,HISTORICAL_OR_DISCONTINUED,UD-004,PENDING_BUSINESS_REVIEW_PHYSICAL_WITHOUT_WOO,false,PENDING,WOO-MAP-001A.3,BLOCKED
302002,OPERATIONAL_BASELINE,,,true,NOT_REQUIRED,WOO-MAP-001A.3,MAPPED_EXACT
302009,OPERATIONAL_BASELINE,,,true,NOT_REQUIRED,WOO-MAP-001A.3,MAPPED_EXACT
302018,OPERATIONAL_BASELINE,,,true,NOT_REQUIRED,WOO-MAP-001A.3,MAPPED_EXACT
302019,OPERATIONAL_BASELINE,,,true,NOT_REQUIRED,WOO-MAP-001A.3,MAPPED_EXACT
402010,OPERATIONAL_BASELINE,,,true,NOT_REQUIRED,WOO-MAP-001A.3,MAPPED_EXACT
402012,OPERATIONAL_BASELINE,,,true,NOT_REQUIRED,WOO-MAP-001A.3,MAPPED_EXACT
402014,HISTORICAL_OR_DISCONTINUED,UD-004,PENDING_BUSINESS_REVIEW_PHYSICAL_WITHOUT_WOO,false,PENDING,WOO-MAP-001A.3,BLOCKED
402019,OPERATIONAL_BASELINE,,,true,NOT_REQUIRED,WOO-MAP-001A.3,MAPPED_EXACT
