source,source_row,parent_woo_id,woo_product_parent_id,parent_sku,component_woo_id,component_sku,quantity,quantity_status,evidence,physical_match_method,physical_item_id,edge_status,edge_role,combination_woo_id,combination_parent_woo_id,combination_sku,combination_name,component_item_id,source_woo,source_supabase,source_dat,source_maestro,evidence_count,resolution_status,conflict_detail,notes,parent_match_method,previous_edge_status,new_edge_status,previous_resolution_status,new_resolution_status,rule_used,active_graph_included,human_decision_required,resolution_confidence,resolution_evidence_001a1,operational_status_001a3,quarantine_group_ids,component_node_id,suffix_classification,suffix_base_candidate_usage,resolution_evidence_001a2
MAESTRO,10,3668,,0302019|0201002|0201002,,0201002,2,EXACT,"{""source"":""MAESTRO_GESTIÓN.xlsx:RENTABILIDAD_COSTOS"",""source_row"":10,""parent_code"":""0302019"",""component_slot"":""ART2"",""component_code"":""0201002"",""quantity"":""2"",""quantity_status"":""EXACT"",""is_combination_row"":""YES"",""family"":""Bases Tatami"",""model"":""tokio"",""finish"":""Natural"",""measure"":""180x200"",""composition_label"":""Estructura + 2 tatamis"",""product_name"":""Cama Tokio, Natural, 180x200x20 cm"",""status"":""ACTIVO"",""legacy_magento_id"":""0302019"",""legacy_ean"":""8436552584910"",""combination_sku_exact"":""0302019|0201002|0201002"",""combination_key_status"":""EXACT""}",EXACT_SKU,201002,EXACT,SUPPORTING_SOURCE,3668,3612,0302019|0201002|0201002,"194x214x20 cm, 180x200 cm, Crudo, sin barniz, Con 2 tatamis de 90x200 cm",201002,NO,NO,NO,YES,1,COMPOSITION_EXACT_SOURCE,,"Evidence row; correlate by combination_sku, component_sku and quantity.",EXACT_SKU,EXACT,EXACT,COMPOSITION_EXACT_SOURCE,COMPOSITION_EXACT_SOURCE,UNCHANGED_EXACT_EVIDENCE,SUPPORTING,NO,HIGH,Exact 001A.0 evidence retained; no fuzzy identity.,INCLUDED_EXACT,,,,,
MAESTRO,10,3668,,0302019|0201002|0201002,,0302019,1,EXACT,"{""source"":""MAESTRO_GESTIÓN.xlsx:RENTABILIDAD_COSTOS"",""source_row"":10,""parent_code"":""0302019"",""component_slot"":""ART1"",""component_code"":""0302019"",""quantity"":""1"",""quantity_status"":""EXACT"",""is_combination_row"":""YES"",""family"":""Bases Tatami"",""model"":""tokio"",""finish"":""Natural"",""measure"":""180x200"",""composition_label"":""Estructura + 2 tatamis"",""product_name"":""Cama Tokio, Natural, 180x200x20 cm"",""status"":""ACTIVO"",""legacy_magento_id"":""0302019"",""legacy_ean"":""8436552584910"",""combination_sku_exact"":""0302019|0201002|0201002"",""combination_key_status"":""EXACT""}",EXACT_SKU,302019,EXACT,SUPPORTING_SOURCE,3668,3612,0302019|0201002|0201002,"194x214x20 cm, 180x200 cm, Crudo, sin barniz, Con 2 tatamis de 90x200 cm",302019,NO,NO,NO,YES,1,COMPOSITION_EXACT_SOURCE,,"Evidence row; correlate by combination_sku, component_sku and quantity.",EXACT_SKU,EXACT,EXACT,COMPOSITION_EXACT_SOURCE,COMPOSITION_EXACT_SOURCE,UNCHANGED_EXACT_EVIDENCE,SUPPORTING,NO,HIGH,Exact 001A.0 evidence retained; no fuzzy identity.,INCLUDED_EXACT,,,,,
MAESTRO,27,3679,,0402010|0201001|0201001,,0201001,2,EXACT,"{""source"":""MAESTRO_GESTIÓN.xlsx:RENTABILIDAD_COSTOS"",""source_row"":27,""parent_code"":""0402010"",""component_slot"":""ART2"",""component_code"":""0201001"",""quantity"":""2"",""quantity_status"":""EXACT"",""is_combination_row"":""YES"",""family"":""Camas"",""model"":""tokio"",""finish"":""Natural"",""measure"":""160x200"",""composition_label"":""Estructura + 2 tatamis"",""product_name"":""Cama Tokio, Natural, 160x200x40 cm"",""status"":""ACTIVO"",""legacy_magento_id"":""0402010"",""legacy_ean"":""8436552580653"",""combination_sku_exact"":""0402010|0201001|0201001"",""combination_key_status"":""EXACT""}",EXACT_SKU,201001,EXACT,SUPPORTING_SOURCE,3679,3618,0402010|0201001|0201001,"174x214x40 cm, 160x200 cm, Crudo, sin barniz, Con 2 tatamis de 80x200 cm",201001,NO,NO,NO,YES,1,COMPOSITION_EXACT_SOURCE,,"Evidence row; correlate by combination_sku, component_sku and quantity.",EXACT_SKU,EXACT,EXACT,COMPOSITION_EXACT_SOURCE,COMPOSITION_EXACT_SOURCE,UNCHANGED_EXACT_EVIDENCE,SUPPORTING,NO,HIGH,Exact 001A.0 evidence retained; no fuzzy identity.,INCLUDED_EXACT,,,,,
MAESTRO,27,3679,,0402010|0201001|0201001,,0402010,1,EXACT,"{""source"":""MAESTRO_GESTIÓN.xlsx:RENTABILIDAD_COSTOS"",""source_row"":27,""parent_code"":""0402010"",""component_slot"":""ART1"",""component_code"":""0402010"",""quantity"":""1"",""quantity_status"":""EXACT"",""is_combination_row"":""YES"",""family"":""Camas"",""model"":""tokio"",""finish"":""Natural"",""measure"":""160x200"",""composition_label"":""Estructura + 2 tatamis"",""product_name"":""Cama Tokio, Natural, 160x200x40 cm"",""status"":""ACTIVO"",""legacy_magento_id"":""0402010"",""legacy_ean"":""8436552580653"",""combination_sku_exact"":""0402010|0201001|0201001"",""combination_key_status"":""EXACT""}",EXACT_SKU,402010,EXACT,SUPPORTING_SOURCE,3679,3618,0402010|0201001|0201001,"174x214x40 cm, 160x200 cm, Crudo, sin barniz, Con 2 tatamis de 80x200 cm",402010,NO,NO,NO,YES,1,COMPOSITION_EXACT_SOURCE,,"Evidence row; correlate by combination_sku, component_sku and quantity.",EXACT_SKU,EXACT,EXACT,COMPOSITION_EXACT_SOURCE,COMPOSITION_EXACT_SOURCE,UNCHANGED_EXACT_EVIDENCE,SUPPORTING,NO,HIGH,Exact 001A.0 evidence retained; no fuzzy identity.,INCLUDED_EXACT,,,,,
MAESTRO,29,3680,,0402012|0201002|0201002,,0201002,2,EXACT,"{""source"":""MAESTRO_GESTIÓN.xlsx:RENTABILIDAD_COSTOS"",""source_row"":29,""parent_code"":""0402012"",""component_slot"":""ART2"",""component_code"":""0201002"",""quantity"":""2"",""quantity_status"":""EXACT"",""is_combination_row"":""YES"",""family"":""Camas"",""model"":""tokio"",""finish"":""Natural"",""measure"":""180x200"",""composition_label"":""Estructura + 2 tatamis"",""product_name"":""Cama Tokio, Natural, 180x200x40 cm"",""status"":""ACTIVO"",""legacy_magento_id"":""0402012"",""legacy_ean"":""8436552580660"",""combination_sku_exact"":""0402012|0201002|0201002"",""combination_key_status"":""EXACT""}",EXACT_SKU,201002,EXACT,SUPPORTING_SOURCE,3680,3618,0402012|0201002|0201002,"194x214x40 cm, 180x200 cm, Crudo, sin barniz, Con 2 tatamis de 90x200 cm",201002,NO,NO,NO,YES,1,COMPOSITION_EXACT_SOURCE,,"Evidence row; correlate by combination_sku, component_sku and quantity.",EXACT_SKU,EXACT,EXACT,COMPOSITION_EXACT_SOURCE,COMPOSITION_EXACT_SOURCE,UNCHANGED_EXACT_EVIDENCE,SUPPORTING,NO,HIGH,Exact 001A.0 evidence retained; no fuzzy identity.,INCLUDED_EXACT,,,,,
MAESTRO,29,3680,,0402012|0201002|0201002,,0402012,1,EXACT,"{""source"":""MAESTRO_GESTIÓN.xlsx:RENTABILIDAD_COSTOS"",""source_row"":29,""parent_code"":""0402012"",""component_slot"":""ART1"",""component_code"":""0402012"",""quantity"":""1"",""quantity_status"":""EXACT"",""is_combination_row"":""YES"",""family"":""Camas"",""model"":""tokio"",""finish"":""Natural"",""measure"":""180x200"",""composition_label"":""Estructura + 2 tatamis"",""product_name"":""Cama Tokio, Natural, 180x200x40 cm"",""status"":""ACTIVO"",""legacy_magento_id"":""0402012"",""legacy_ean"":""8436552580660"",""combination_sku_exact"":""0402012|0201002|0201002"",""combination_key_status"":""EXACT""}",EXACT_SKU,402012,EXACT,SUPPORTING_SOURCE,3680,3618,0402012|0201002|0201002,"194x214x40 cm, 180x200 cm, Crudo, sin barniz, Con 2 tatamis de 90x200 cm",402012,NO,NO,NO,YES,1,COMPOSITION_EXACT_SOURCE,,"Evidence row; correlate by combination_sku, component_sku and quantity.",EXACT_SKU,EXACT,EXACT,COMPOSITION_EXACT_SOURCE,COMPOSITION_EXACT_SOURCE,UNCHANGED_EXACT_EVIDENCE,SUPPORTING,NO,HIGH,Exact 001A.0 evidence retained; no fuzzy identity.,INCLUDED_EXACT,,,,,
MAESTRO,299,3993,,0504012|0724003,,0504012,1,EXACT,"{""source"":""MAESTRO_GESTIÓN.xlsx:RENTABILIDAD_COSTOS"",""source_row"":299,""parent_code"":""0504012"",""component_slot"":""ART1"",""component_code"":""0504012"",""quantity"":""1"",""quantity_status"":""EXACT"",""is_combination_row"":""YES"",""family"":""Sofás Cama"",""model"":""A-Frame"",""finish"":""Natural"",""measure"":""140x200"",""composition_label"":""Estructura + futonAlg"",""product_name"":""Estructura + futonAlg"",""status"":""ACTIVO"",""legacy_magento_id"":""0504012"",""legacy_ean"":"""",""combination_sku_exact"":""0504012|0724003"",""combination_key_status"":""EXACT""}",EXACT_SKU,504012,EXACT,SUPPORTING_SOURCE,3993,3647,0504012|0724003,"Futón de algodón, 140x200x14,5 cm, Sin funda",504012,NO,NO,NO,YES,1,COMPOSITION_EXACT_SOURCE,,"Evidence row; correlate by combination_sku, component_sku and quantity.",EXACT_SKU,EXACT,EXACT,COMPOSITION_EXACT_SOURCE,COMPOSITION_EXACT_SOURCE,UNCHANGED_EXACT_EVIDENCE,SUPPORTING,NO,HIGH,Exact 001A.0 evidence retained; no fuzzy identity.,INCLUDED_EXACT,,,,,
MAESTRO,299,3993,,0504012|0724003,,0724003,1,EXACT,"{""source"":""MAESTRO_GESTIÓN.xlsx:RENTABILIDAD_COSTOS"",""source_row"":299,""parent_code"":""0504012"",""component_slot"":""ART2"",""component_code"":""0724003"",""quantity"":""1"",""quantity_status"":""EXACT"",""is_combination_row"":""YES"",""family"":""Sofás Cama"",""model"":""A-Frame"",""finish"":""Natural"",""measure"":""140x200"",""composition_label"":""Estructura + futonAlg"",""product_name"":""Estructura + futonAlg"",""status"":""ACTIVO"",""legacy_magento_id"":""0504012"",""legacy_ean"":"""",""combination_sku_exact"":""0504012|0724003"",""combination_key_status"":""EXACT""}",EXACT_SKU,724003,EXACT,SUPPORTING_SOURCE,3993,3647,0504012|0724003,"Futón de algodón, 140x200x14,5 cm, Sin funda",724003,NO,NO,NO,YES,1,COMPOSITION_EXACT_SOURCE,,"Evidence row; correlate by combination_sku, component_sku and quantity.",EXACT_SKU,EXACT,EXACT,COMPOSITION_EXACT_SOURCE,COMPOSITION_EXACT_SOURCE,UNCHANGED_EXACT_EVIDENCE,SUPPORTING,NO,HIGH,Exact 001A.0 evidence retained; no fuzzy identity.,INCLUDED_EXACT,,,,,
MAESTRO,301,6298,,0504012|0724003|0617002,,0504012,1,EXACT,"{""source"":""MAESTRO_GESTIÓN.xlsx:RENTABILIDAD_COSTOS"",""source_row"":301,""parent_code"":""0504012"",""component_slot"":""ART1"",""component_code"":""0504012"",""quantity"":""1"",""quantity_status"":""EXACT"",""is_combination_row"":""YES"",""family"":""Sofás Cama"",""model"":""A-Frame"",""finish"":""Natural"",""measure"":""140x200"",""composition_label"":""Estructura + futonAlg + funda_GrisJaspeada"",""product_name"":""Estructura + futonAlg + funda_GrisJaspeada"",""status"":""ACTIVO"",""legacy_magento_id"":""0504012"",""legacy_ean"":"""",""combination_sku_exact"":""0504012|0724003|0617002"",""combination_key_status"":""EXACT""}",EXACT_SKU,504012,EXACT,SUPPORTING_SOURCE,6298,3647,0504012|0724003|0617002,"Futón de algodón, 140x200x14,5 cm, Gris jaspeado",504012,NO,NO,NO,YES,1,COMPOSITION_EXACT_SOURCE,,"Evidence row; correlate by combination_sku, component_sku and quantity.",EXACT_SKU,EXACT,EXACT,COMPOSITION_EXACT_SOURCE,COMPOSITION_EXACT_SOURCE,UNCHANGED_EXACT_EVIDENCE,SUPPORTING,NO,HIGH,Exact 001A.0 evidence retained; no fuzzy identity.,INCLUDED_EXACT,,,,,
MAESTRO,301,6298,,0504012|0724003|0617002,,0617002,1,EXACT,"{""source"":""MAESTRO_GESTIÓN.xlsx:RENTABILIDAD_COSTOS"",""source_row"":301,""parent_code"":""0504012"",""component_slot"":""ART4"",""component_code"":""0617002"",""quantity"":""1"",""quantity_status"":""EXACT"",""is_combination_row"":""YES"",""family"":""Sofás Cama"",""model"":""A-Frame"",""finish"":""Natural"",""measure"":""140x200"",""composition_label"":""Estructura + futonAlg + funda_GrisJaspeada"",""product_name"":""Estructura + futonAlg + funda_GrisJaspeada"",""status"":""ACTIVO"",""legacy_magento_id"":""0504012"",""legacy_ean"":"""",""combination_sku_exact"":""0504012|0724003|0617002"",""combination_key_status"":""EXACT""}",EXACT_SKU,617002,EXACT,SUPPORTING_SOURCE,6298,3647,0504012|0724003|0617002,"Futón de algodón, 140x200x14,5 cm, Gris jaspeado",617002,NO,NO,NO,YES,1,COMPOSITION_EXACT_SOURCE,,"Evidence row; correlate by combination_sku, component_sku and quantity.",EXACT_SKU,EXACT,EXACT,COMPOSITION_EXACT_SOURCE,COMPOSITION_EXACT_SOURCE,UNCHANGED_EXACT_EVIDENCE,SUPPORTING,NO,HIGH,Exact 001A.0 evidence retained; no fuzzy identity.,INCLUDED_EXACT,,,,,
