combination_woo_id,combination_parent_woo_id,combination_sku,combination_name,woo_status,regular_price,sale_price,effective_price,price_missing,primary_component_rows,all_evidence_rows,distinct_component_count,component_skus,component_quantities,component_item_ids,component_woo_ids,exact_primary_edges,blocked_primary_edges,original_status,operational_status,quarantine_group_ids,quarantine_reason,quarantine_status,worker_review_status
4587,3658,0201001|0201001|1249001|1249001|0615011|0615011,"Crudo, Crudo, Amarillo, Amarillo",private,711.15,578.17,578.17,NO,3,3,3,0201001 | 0615011 | 1249001,0201001=2 | 0615011=2 | 1249001=2,1249001 | 201001,,2,1,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4588,3658,0201001|0201001|1249001|1249001|0609011|0609011,"Crudo, Crudo, Azul, Azul",private,711.15,578.17,578.17,NO,3,3,3,0201001 | 0609011 | 1249001,0201001=2 | 0609011=2 | 1249001=2,1249001 | 201001,,2,1,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4591,3658,0201001|0201001|1249001|1249001|0606011|0606011,"Crudo, Crudo, Granate, Granate",private,711.15,578.17,578.17,NO,3,3,3,0201001 | 0606011 | 1249001,0201001=2 | 0606011=2 | 1249001=2,1249001 | 201001,,2,1,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4594,3658,0201001|0201001|1249001|1249001|0616011|0616011,"Crudo, Crudo, Negro, Negro",publish,950.00,749.90,749.90,NO,3,3,3,0201001 | 0616011 | 1249001,0201001=2 | 0616011=2 | 1249001=2,1249001 | 201001,,2,1,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4596,3658,0201001|0201001|1249001|1249001|0607011|0607011,"Crudo, Crudo, Rojo, Rojo",private,711.15,578.17,578.17,NO,3,3,3,0201001 | 0607011 | 1249001,0201001=2 | 0607011=2 | 1249001=2,1249001 | 201001,,2,1,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4598,3658,0201001|0201001|1249001|1249001|0615011|0609011,"Crudo, Crudo, Amarillo, Azul",private,711.15,578.17,578.17,NO,4,4,4,0201001 | 0609011 | 0615011 | 1249001,0201001=2 | 0609011=1 | 0615011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4600,3658,0201001|0201001|1249001|1249001|0615011|0608011,"Crudo, Crudo, Amarillo, Crudo",private,711.15,578.17,578.17,NO,4,4,4,0201001 | 0608011 | 0615011 | 1249001,0201001=2 | 0608011=1 | 0615011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4601,3658,0201001|0201001|1249001|1249001|0615011|0606011,"Crudo, Crudo, Amarillo, Granate",private,711.15,578.17,578.17,NO,4,4,4,0201001 | 0606011 | 0615011 | 1249001,0201001=2 | 0606011=1 | 0615011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4604,3658,0201001|0201001|1249001|1249001|0619007|0616011,"Crudo, Crudo, Marrón, Negro",publish,950,749.90,749.90,NO,4,4,4,0201001 | 0616011 | 0619007 | 1249001,0201001=2 | 0616011=1 | 0619007=1 | 1249001=2,1249001 | 201001 | 619007,,3,1,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4605,3658,0201001|0201001|1249001|1249001|0615011|0607011,"Crudo, Crudo, Amarillo, Rojo",private,711.15,578.17,578.17,NO,4,4,4,0201001 | 0607011 | 0615011 | 1249001,0201001=2 | 0607011=1 | 0615011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
