source,source_row,parent_woo_id,woo_product_parent_id,parent_sku,component_woo_id,component_sku,quantity,quantity_status,evidence,physical_match_method,physical_item_id,edge_status,edge_role,combination_woo_id,combination_parent_woo_id,combination_sku,combination_name,component_item_id,source_woo,source_supabase,source_dat,source_maestro,evidence_count,resolution_status,conflict_detail,notes,parent_match_method,previous_edge_status,new_edge_status,previous_resolution_status,new_resolution_status,rule_used,active_graph_included,human_decision_required,resolution_confidence,resolution_evidence_001a1,quarantine_group_ids,quarantine_reason,direct_quarantine_match,quarantine_status,worker_review_status,component_node_id,suffix_classification,suffix_base_candidate_usage,resolution_evidence_001a2
DAT,1,,,zzz01,,0201001,0,INVALID_OR_ZERO,"{""source"":""dat/a20230627dat.rar:Composicion#a20230627.dat"",""source_row"":1,""parent_code"":""zzz01"",""component_code"":""0201001"",""component_name"":""Tatami, 80 x 200 x 5,5 cm."",""quantity"":""0"",""level"":""0"",""quantity_status"":""INVALID_OR_ZERO""}",EXACT_SKU,201001,BLOCKED,SUPPORTING_SOURCE,,,zzz01,,201001,NO,NO,YES,NO,1,COMPOSITION_MISSING_QUANTITY,"{""quantity_status"":""INVALID_OR_ZERO"",""physical_match_method"":""EXACT_SKU"",""parent_match_method"":""MISSING_WOO_SKU""}","Evidence row; correlate by combination_sku, component_sku and quantity.",MISSING_WOO_SKU,BLOCKED,BLOCKED,COMPOSITION_MISSING_QUANTITY,SOURCE_STATUS_REVIEW,SOURCE_STATUS_REVIEW,NO,YES,LOW,Exact 001A.0 evidence retained; no fuzzy identity.,UD-006,PENDING_BUSINESS_REVIEW_EXTERNAL_ONE_OFF,YES,PENDING_BUSINESS_REVIEW,PENDING,,,,
DAT,2,,,107,,0201001,2,EXACT,"{""source"":""dat/a20230627dat.rar:Composicion#a20230627.dat"",""source_row"":2,""parent_code"":""107"",""component_code"":""0201001"",""component_name"":""Tatami, 80 x 200 x 5,5 cm."",""quantity"":""2"",""level"":""0"",""quantity_status"":""EXACT""}",EXACT_SKU,201001,BLOCKED,SUPPORTING_SOURCE,,,107,,201001,NO,NO,YES,NO,1,COMBINATION_SKU_MISSING,"{""quantity_status"":""EXACT"",""physical_match_method"":""EXACT_SKU"",""parent_match_method"":""MISSING_WOO_SKU""}","Evidence row; correlate by combination_sku, component_sku and quantity.",MISSING_WOO_SKU,BLOCKED,BLOCKED,COMBINATION_SKU_MISSING,SOURCE_STATUS_REVIEW,SOURCE_STATUS_REVIEW,NO,YES,LOW,Exact 001A.0 evidence retained; no fuzzy identity.,UD-006,PENDING_BUSINESS_REVIEW_EXTERNAL_ONE_OFF,YES,PENDING_BUSINESS_REVIEW,PENDING,,,,
MAESTRO,13,,,0404017|0402020|0402020,,0402020,2,EXACT,"{""source"":""MAESTRO_GESTIÓN.xlsx:RENTABILIDAD_COSTOS"",""source_row"":13,""parent_code"":""0404017"",""component_slot"":""ART2"",""component_code"":""0402020"",""quantity"":""2"",""quantity_status"":""EXACT"",""is_combination_row"":""YES"",""family"":""Camas"",""model"":""Chalet Brus"",""finish"":""Natural"",""measure"":""160x200"",""composition_label"":""La Estructura + 2 Somiers"",""product_name"":""Cama Chalet Brus, Crudo, 160x200 cm"",""status"":""DESCATALOGADO"",""legacy_magento_id"":""0404017"",""legacy_ean"":"""",""combination_sku_exact"":""0404017|0402020|0402020"",""combination_key_status"":""EXACT""}",EXACT_SKU,402020,BLOCKED,SUPPORTING_SOURCE,,,0404017|0402020|0402020,,402020,NO,NO,NO,YES,1,COMBINATION_SKU_MISSING,"{""quantity_status"":""EXACT"",""physical_match_method"":""EXACT_SKU"",""parent_match_method"":""MISSING_WOO_SKU""}","Evidence row; correlate by combination_sku, component_sku and quantity.",MISSING_WOO_SKU,BLOCKED,HISTORICAL_NONBLOCKING,COMBINATION_SKU_MISSING,HISTORICAL_COMPOSITION_EVIDENCE,HISTORICAL_COMPOSITION_EVIDENCE,NO,NO,HIGH,Exact 001A.0 evidence retained; no fuzzy identity.,TECH-001,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,YES_NONEXACT,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL,,,,
MAESTRO,13,,,0404017|0402020|0402020,,0404017,1,EXACT,"{""source"":""MAESTRO_GESTIÓN.xlsx:RENTABILIDAD_COSTOS"",""source_row"":13,""parent_code"":""0404017"",""component_slot"":""ART1"",""component_code"":""0404017"",""quantity"":""1"",""quantity_status"":""EXACT"",""is_combination_row"":""YES"",""family"":""Camas"",""model"":""Chalet Brus"",""finish"":""Natural"",""measure"":""160x200"",""composition_label"":""La Estructura + 2 Somiers"",""product_name"":""Cama Chalet Brus, Crudo, 160x200 cm"",""status"":""DESCATALOGADO"",""legacy_magento_id"":""0404017"",""legacy_ean"":"""",""combination_sku_exact"":""0404017|0402020|0402020"",""combination_key_status"":""EXACT""}",EXACT_SKU,404017,BLOCKED,SUPPORTING_SOURCE,,,0404017|0402020|0402020,,404017,NO,NO,NO,YES,1,COMBINATION_SKU_MISSING,"{""quantity_status"":""EXACT"",""physical_match_method"":""EXACT_SKU"",""parent_match_method"":""MISSING_WOO_SKU""}","Evidence row; correlate by combination_sku, component_sku and quantity.",MISSING_WOO_SKU,BLOCKED,HISTORICAL_NONBLOCKING,COMBINATION_SKU_MISSING,HISTORICAL_COMPOSITION_EVIDENCE,HISTORICAL_COMPOSITION_EVIDENCE,NO,NO,HIGH,Exact 001A.0 evidence retained; no fuzzy identity.,TECH-001,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,YES_NONEXACT,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL,,,,
MAESTRO,15,,,0404019|0402019|0402019,,0402019,2,EXACT,"{""source"":""MAESTRO_GESTIÓN.xlsx:RENTABILIDAD_COSTOS"",""source_row"":15,""parent_code"":""0404019"",""component_slot"":""ART2"",""component_code"":""0402019"",""quantity"":""2"",""quantity_status"":""EXACT"",""is_combination_row"":""YES"",""family"":""Camas"",""model"":""Chalet Brus"",""finish"":""Natural"",""measure"":""180x200"",""composition_label"":""La Estructura + 2 Somiers"",""product_name"":""Cama Chalet Brus, Crudo, 180x200 cm"",""status"":""ACTIVO"",""legacy_magento_id"":""0404019"",""legacy_ean"":"""",""combination_sku_exact"":""0404019|0402019|0402019"",""combination_key_status"":""EXACT""}",EXACT_SKU,402019,BLOCKED,SUPPORTING_SOURCE,,,0404019|0402019|0402019,,402019,NO,NO,NO,YES,1,COMBINATION_SKU_MISSING,"{""quantity_status"":""EXACT"",""physical_match_method"":""EXACT_SKU"",""parent_match_method"":""MISSING_WOO_SKU""}","Evidence row; correlate by combination_sku, component_sku and quantity.",MISSING_WOO_SKU,BLOCKED,BLOCKED,COMBINATION_SKU_MISSING,ACTIVE_SOURCE_COMPOSITION_WITHOUT_WOO_PARENT,ACTIVE_SOURCE_COMPOSITION_WITHOUT_WOO_PARENT,NO,YES,LOW,Exact 001A.0 evidence retained; no fuzzy identity.,UD-005,PENDING_BUSINESS_REVIEW_MAESTRO_COMPOSITION,YES,PENDING_BUSINESS_REVIEW,PENDING,,,,
MAESTRO,15,,,0404019|0402019|0402019,,0404019,1,EXACT,"{""source"":""MAESTRO_GESTIÓN.xlsx:RENTABILIDAD_COSTOS"",""source_row"":15,""parent_code"":""0404019"",""component_slot"":""ART1"",""component_code"":""0404019"",""quantity"":""1"",""quantity_status"":""EXACT"",""is_combination_row"":""YES"",""family"":""Camas"",""model"":""Chalet Brus"",""finish"":""Natural"",""measure"":""180x200"",""composition_label"":""La Estructura + 2 Somiers"",""product_name"":""Cama Chalet Brus, Crudo, 180x200 cm"",""status"":""ACTIVO"",""legacy_magento_id"":""0404019"",""legacy_ean"":"""",""combination_sku_exact"":""0404019|0402019|0402019"",""combination_key_status"":""EXACT""}",EXACT_SKU,404019,BLOCKED,SUPPORTING_SOURCE,,,0404019|0402019|0402019,,404019,NO,NO,NO,YES,1,COMBINATION_SKU_MISSING,"{""quantity_status"":""EXACT"",""physical_match_method"":""EXACT_SKU"",""parent_match_method"":""MISSING_WOO_SKU""}","Evidence row; correlate by combination_sku, component_sku and quantity.",MISSING_WOO_SKU,BLOCKED,BLOCKED,COMBINATION_SKU_MISSING,ACTIVE_SOURCE_COMPOSITION_WITHOUT_WOO_PARENT,ACTIVE_SOURCE_COMPOSITION_WITHOUT_WOO_PARENT,NO,YES,LOW,Exact 001A.0 evidence retained; no fuzzy identity.,UD-005,PENDING_BUSINESS_REVIEW_MAESTRO_COMPOSITION,YES,PENDING_BUSINESS_REVIEW,PENDING,,,,
MAESTRO,23,,,0402014|0201002|0201002,,0201002,2,EXACT,"{""source"":""MAESTRO_GESTIÓN.xlsx:RENTABILIDAD_COSTOS"",""source_row"":23,""parent_code"":""0402014"",""component_slot"":""ART2"",""component_code"":""0201002"",""quantity"":""2"",""quantity_status"":""EXACT"",""is_combination_row"":""YES"",""family"":""Camas"",""model"":""Macao"",""finish"":""Natural"",""measure"":""180x200"",""composition_label"":""Estructura + 2 tatamis"",""product_name"":""Cama  Macao Natural 180x200 cm."",""status"":""ACTIVO"",""legacy_magento_id"":""0402014"",""legacy_ean"":""-"",""combination_sku_exact"":""0402014|0201002|0201002"",""combination_key_status"":""EXACT""}",EXACT_SKU,201002,BLOCKED,SUPPORTING_SOURCE,,,0402014|0201002|0201002,,201002,NO,NO,NO,YES,1,COMBINATION_SKU_MISSING,"{""quantity_status"":""EXACT"",""physical_match_method"":""EXACT_SKU"",""parent_match_method"":""MISSING_WOO_SKU""}","Evidence row; correlate by combination_sku, component_sku and quantity.",MISSING_WOO_SKU,BLOCKED,BLOCKED,COMBINATION_SKU_MISSING,ACTIVE_SOURCE_COMPOSITION_WITHOUT_WOO_PARENT,ACTIVE_SOURCE_COMPOSITION_WITHOUT_WOO_PARENT,NO,YES,LOW,Exact 001A.0 evidence retained; no fuzzy identity.,UD-005,PENDING_BUSINESS_REVIEW_MAESTRO_COMPOSITION,YES,PENDING_BUSINESS_REVIEW,PENDING,,,,
MAESTRO,23,,,0402014|0201002|0201002,,0402014,1,EXACT,"{""source"":""MAESTRO_GESTIÓN.xlsx:RENTABILIDAD_COSTOS"",""source_row"":23,""parent_code"":""0402014"",""component_slot"":""ART1"",""component_code"":""0402014"",""quantity"":""1"",""quantity_status"":""EXACT"",""is_combination_row"":""YES"",""family"":""Camas"",""model"":""Macao"",""finish"":""Natural"",""measure"":""180x200"",""composition_label"":""Estructura + 2 tatamis"",""product_name"":""Cama  Macao Natural 180x200 cm."",""status"":""ACTIVO"",""legacy_magento_id"":""0402014"",""legacy_ean"":""-"",""combination_sku_exact"":""0402014|0201002|0201002"",""combination_key_status"":""EXACT""}",EXACT_SKU,402014,BLOCKED,SUPPORTING_SOURCE,,,0402014|0201002|0201002,,402014,NO,NO,NO,YES,1,COMBINATION_SKU_MISSING,"{""quantity_status"":""EXACT"",""physical_match_method"":""EXACT_SKU"",""parent_match_method"":""MISSING_WOO_SKU""}","Evidence row; correlate by combination_sku, component_sku and quantity.",MISSING_WOO_SKU,BLOCKED,BLOCKED,COMBINATION_SKU_MISSING,ACTIVE_SOURCE_COMPOSITION_WITHOUT_WOO_PARENT,ACTIVE_SOURCE_COMPOSITION_WITHOUT_WOO_PARENT,NO,YES,LOW,Exact 001A.0 evidence retained; no fuzzy identity.,UD-005,PENDING_BUSINESS_REVIEW_MAESTRO_COMPOSITION,YES,PENDING_BUSINESS_REVIEW,PENDING,,,,
MAESTRO,300,,,0504012|0724003|0606002,,0504012,1,EXACT,"{""source"":""MAESTRO_GESTIÓN.xlsx:RENTABILIDAD_COSTOS"",""source_row"":300,""parent_code"":""0504012"",""component_slot"":""ART1"",""component_code"":""0504012"",""quantity"":""1"",""quantity_status"":""EXACT"",""is_combination_row"":""YES"",""family"":""Sofás Cama"",""model"":""A-Frame"",""finish"":""Natural"",""measure"":""140x200"",""composition_label"":""Estructura + futonAlg + funda_lisa"",""product_name"":""Estructura + futonAlg + funda_lisa"",""status"":""ACTIVO"",""legacy_magento_id"":""0504012"",""legacy_ean"":"""",""combination_sku_exact"":""0504012|0724003|0606002"",""combination_key_status"":""EXACT""}",EXACT_SKU,504012,BLOCKED,SUPPORTING_SOURCE,,,0504012|0724003|0606002,,504012,NO,NO,NO,YES,1,COMBINATION_SKU_MISSING,"{""quantity_status"":""EXACT"",""physical_match_method"":""EXACT_SKU"",""parent_match_method"":""MISSING_WOO_SKU""}","Evidence row; correlate by combination_sku, component_sku and quantity.",MISSING_WOO_SKU,BLOCKED,BLOCKED,COMBINATION_SKU_MISSING,ACTIVE_SOURCE_COMPOSITION_WITHOUT_WOO_PARENT,ACTIVE_SOURCE_COMPOSITION_WITHOUT_WOO_PARENT,NO,YES,LOW,Exact 001A.0 evidence retained; no fuzzy identity.,UD-005,PENDING_BUSINESS_REVIEW_MAESTRO_COMPOSITION,YES,PENDING_BUSINESS_REVIEW,PENDING,,,,
MAESTRO,300,,,0504012|0724003|0606002,,0606002,1,EXACT,"{""source"":""MAESTRO_GESTIÓN.xlsx:RENTABILIDAD_COSTOS"",""source_row"":300,""parent_code"":""0504012"",""component_slot"":""ART4"",""component_code"":""0606002"",""quantity"":""1"",""quantity_status"":""EXACT"",""is_combination_row"":""YES"",""family"":""Sofás Cama"",""model"":""A-Frame"",""finish"":""Natural"",""measure"":""140x200"",""composition_label"":""Estructura + futonAlg + funda_lisa"",""product_name"":""Estructura + futonAlg + funda_lisa"",""status"":""ACTIVO"",""legacy_magento_id"":""0504012"",""legacy_ean"":"""",""combination_sku_exact"":""0504012|0724003|0606002"",""combination_key_status"":""EXACT""}",EXACT_SKU,606002,BLOCKED,SUPPORTING_SOURCE,,,0504012|0724003|0606002,,606002,NO,NO,NO,YES,1,COMBINATION_SKU_MISSING,"{""quantity_status"":""EXACT"",""physical_match_method"":""EXACT_SKU"",""parent_match_method"":""MISSING_WOO_SKU""}","Evidence row; correlate by combination_sku, component_sku and quantity.",MISSING_WOO_SKU,BLOCKED,BLOCKED,COMBINATION_SKU_MISSING,ACTIVE_SOURCE_COMPOSITION_WITHOUT_WOO_PARENT,ACTIVE_SOURCE_COMPOSITION_WITHOUT_WOO_PARENT,NO,YES,LOW,Exact 001A.0 evidence retained; no fuzzy identity.,UD-005,PENDING_BUSINESS_REVIEW_MAESTRO_COMPOSITION,YES,PENDING_BUSINESS_REVIEW,PENDING,,,,
