combination_woo_id,combination_parent_woo_id,combination_sku,combination_name,combination_current_price,combination_price_missing,component_sku,component_quantity,component_item_id,component_woo_id,component_target_key,combination_component_count,component_combination_count,relationship_type,possible_duplicate_component_woo_id,edge_rule,edge_confidence,propagation_status
3741,3624,0201001|0201001|0724001,"Con 2 tatamis de 80x200 cm, 90x200x14,5 cm",437.70,NO,0201001,2,201001,,201001,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3738,3624,0201001|0201001|0724003,"Con 2 tatamis de 80x200 cm, 140x200x14,5 cm",505.48,NO,0201001,2,201001,,201001,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3739,3624,0201001|0201001|0724004,"Con 2 tatamis de 80x200 cm, 150x200x14,5 cm",548.58,NO,0201001,2,201001,,201001,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3740,3624,0201001|0201001|0724005,"Con 2 tatamis de 80x200 cm, 160x200x14,5 cm",570.26,NO,0201001,2,201001,,201001,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3721,3623,0201001|0201001|0728001,"90x200x14,5 cm, Con 2 tatamis de 80x200 cm",521.70,NO,0201001,2,201001,,201001,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3719,3623,0201001|0201001|0728002,"140x200x14,5 cm, Con 2 tatamis de 80x200 cm",592.22,NO,0201001,2,201001,,201001,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3720,3623,0201001|0201001|0728003,"150x200x14,5 cm, Con 2 tatamis de 80x200 cm",603.58,NO,0201001,2,201001,,201001,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3698,3622,0201001|0201001|0728004,"160x200x14,5 cm, Con 2 tatamis de 80x200 cm",735.46,NO,0201001,2,201001,,201001,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3702,3622,0201001|0201001|0730001,"90x200x14,5 cm, Con 2 tatamis de 80x200 cm",583.70,NO,0201001,2,201001,,201001,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3699,3622,0201001|0201001|0730002,"140x200x14,5 cm, Con 2 tatamis de 80x200 cm",711.30,NO,0201001,2,201001,,201001,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3700,3622,0201001|0201001|0730003,"150x200x14,5 cm, Con 2 tatamis de 80x200 cm",723.94,NO,0201001,2,201001,,201001,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3701,3622,0201001|0201001|0730004,"160x200x14,5 cm, Con 2 tatamis de 80x200 cm",735.46,NO,0201001,2,201001,,201001,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
4562,3658,0201001|0201001|1249001|1249001,"Crudo, Crudo, Sin funda, Sin funda",615.90,NO,0201001,2,201001,,201001,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
4590,3658,0201001|0201001|1249001|1249001|0608007|0608007,"Crudo, Crudo, Crudo, Crudo",749.90,NO,0201001,2,201001,,201001,3,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
4628,3658,0201001|0201001|1249001|1249001|0608007|0619007,"Crudo, Crudo, Crudo, Marrón",749.90,NO,0201001,2,201001,,201001,4,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
13092,3658,0201001|0201001|1249001|1249001|0619007|0619007,"Crudo, Crudo, Marrón, Marrón",749.90,NO,0201001,2,201001,,201001,3,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3746,3624,0201002|0201002|0724001,"Con 2 tatamis de 90x200 cm, 90x200x14,5 cm",437.70,NO,0201002,2,201002,,201002,2,19,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
