"item_id","inventory_visible","visibility_reason","filter_family_override","filter_group_override","filter_size_override","filter_gama_override","name_override","family_override","business_usage","price_policy_override"
"1002010","YES","APPROVED_COMMERCIAL_PACK_VISIBLE_IN_INVENTORY","Complementos","__EMPTY__","__EMPTY__","__EMPTY__","Cajón lateral Tokio, Natural (pack de 2 unidades)","Complementos","COMMERCIAL_PACK_INVENTORY_VISIBLE",""
"1018005","YES","APPROVED_COMMERCIAL_PACK_VISIBLE_IN_INVENTORY","Complementos","__EMPTY__","__EMPTY__","__EMPTY__","","Complementos","COMMERCIAL_PACK_INVENTORY_VISIBLE",""
"1020005","YES","APPROVED_COMMERCIAL_PACK_VISIBLE_IN_INVENTORY","Complementos","__EMPTY__","__EMPTY__","__EMPTY__","","Complementos","COMMERCIAL_PACK_INVENTORY_VISIBLE",""
"1020006","YES","APPROVED_COMMERCIAL_PACK_VISIBLE_IN_INVENTORY","Complementos","__EMPTY__","__EMPTY__","__EMPTY__","","Complementos","COMMERCIAL_PACK_INVENTORY_VISIBLE",""
"1020007","YES","APPROVED_COMMERCIAL_PACK_VISIBLE_IN_INVENTORY","Complementos","__EMPTY__","__EMPTY__","__EMPTY__","Pack Cojines Sésamo Crudo 50x50 cm","Complementos","COMMERCIAL_PACK_INVENTORY_VISIBLE",""
"1020009","YES","APPROVED_COMMERCIAL_PACK_VISIBLE_IN_INVENTORY","Complementos","__EMPTY__","__EMPTY__","__EMPTY__","","Complementos","COMMERCIAL_PACK_INVENTORY_VISIBLE",""
"78009","NO","HISTORICAL_DUPLICATE_REPLACED_BY_CORRECT_CODE","","","","","","","HISTORICAL_DUPLICATE_NOT_VISIBLE","NO"
"78012","NO","HISTORICAL_DUPLICATE_REPLACED_BY_CORRECT_CODE","","","","","","","HISTORICAL_DUPLICATE_NOT_VISIBLE","NO"
"78013","NO","HISTORICAL_DUPLICATE_REPLACED_BY_CORRECT_CODE","","","","","","","HISTORICAL_DUPLICATE_NOT_VISIBLE","NO"
"608017","YES","SUPPLIER_COMPONENT_NOT_FOR_SALE","","","","","","","SUPPLIER_COMPONENT_NOT_FOR_SALE","NO"
"608018","YES","SUPPLIER_COMPONENT_NOT_FOR_SALE","","","","","","","SUPPLIER_COMPONENT_NOT_FOR_SALE","NO"
"608019","YES","SUPPLIER_COMPONENT_NOT_FOR_SALE","","","","","","","SUPPLIER_COMPONENT_NOT_FOR_SALE","NO"
"616019","YES","SUPPLIER_COMPONENT_NOT_FOR_SALE","","","","","","","SUPPLIER_COMPONENT_NOT_FOR_SALE","NO"
