"item_id","heca_reference","hub_item_code","base_item_code","item_record_type","is_pack","name","family","size","filter_family","filter_group","filter_size","filter_gama","physical_validation_source","canonical_resolution_status","ui_eligibility_status"
"302009","0302009","0302009","","simple","false","Base Tatami Macao 180 x 200 cm, Natural","Bases para Tatamis","180x200","Bases para Tatamis","Macao","180x200","Natural","DAT","VALIDATED_PHYSICAL_ROW","PHYSICAL_UI_ELIGIBLE"
"302002","0302002","0302002","","simple","false","Base Tatami Provence, 180 x 200 cm, Natural","Bases para Tatamis","180x200","Bases para Tatamis","Provence","180x200","Natural","DAT","VALIDATED_PHYSICAL_ROW","PHYSICAL_UI_ELIGIBLE"
"302018","0302018","0302018","","simple","false","Base Tatami Tokio 160 x 200 x 20 cm, Natural UN","Bases para Tatamis","160x200x20","Bases para Tatamis","Tokio","160x200x20","Natural","DAT","VALIDATED_PHYSICAL_ROW","PHYSICAL_UI_ELIGIBLE"
"302019","0302019","0302019","","simple","false","Base Tatami Tokio 180 x 200 x 20 cm, Natural UN","Bases para Tatamis","180x200x20","Bases para Tatamis","Tokio","180x200x20","Natural","DAT","VALIDATED_PHYSICAL_ROW","PHYSICAL_UI_ELIGIBLE"
"406006","","406006","","simple","false","Cama Sumatra 160x200, natural","","160x200","Camas","Cama Sumatra","160x200","Natural","MAESTRO","SOURCE_BACKED_USER_APPROVED","PHYSICAL_UI_ELIGIBLE"
"404017","0404017","0404017","","simple","false","Cama Chalet Brus, 160 x 200 cm, Natural","Camas","160x200","Camas","Chalet Brus","160x200","Natural","DAT","VALIDATED_PHYSICAL_ROW","PHYSICAL_UI_ELIGIBLE"
"404019","0404019","0404019","","simple","false","Cama Chalet Brus, 180 x 200 cm, Natural","Camas","180x200","Camas","Chalet Brus","180x200","Natural","DAT","VALIDATED_PHYSICAL_ROW","PHYSICAL_UI_ELIGIBLE"
"404021","0404021","0404021","","simple","false","Cama Eko-bed, 120 x 200 cm, Crudo","Camas","120x200","Camas","Eko-bed","120x200","Crudo","DAT","VALIDATED_PHYSICAL_ROW","PHYSICAL_UI_ELIGIBLE"
"404005","0404005","0404005","","simple","false","Cama Eko-bed, 140 x 200 cm, Crudo","Camas","140x200","Camas","Eko-bed","140x200","Crudo","DAT","VALIDATED_PHYSICAL_ROW","PHYSICAL_UI_ELIGIBLE"
"404006","0404006","0404006","","simple","false","Cama Eko-bed, 150 x 200 cm, Crudo","Camas","150x200","Camas","Eko-bed","150x200","Crudo","DAT","VALIDATED_PHYSICAL_ROW","PHYSICAL_UI_ELIGIBLE"
